span_id,code,definition,libelle,cos_rr_ln,gliner_score,bin,vote_opus,vote_fable_v2,vote_fable_v3,n_yes,label
0,C153,Tumeur maligne du tiers supérieur de l'oesophage,envahissement de la musculeuse,-0.117982,0.1225,.08-.16,0,0,0,0,0
1,C501,Tumeur maligne de la partie centrale du sein,"opacité spiculée rétro-mamelonnaire droite de 2,5 cm",0.287038,0.1569,.08-.16,1,0,0,1,0
2,C502,Tumeur maligne du quadrant supéro-interne du sein,cancer du sein,0.463302,0.1221,.08-.16,0,0,0,0,0
3,C61,Tumeur maligne de la prostate,"métastases hépatiques, pulmonaires ou osseuses",0.152622,0.1417,.08-.16,0,0,0,0,0
4,C61,Tumeur maligne de la prostate,nodule suspect en lobe gauche,-0.017014,0.1286,.08-.16,0,0,0,0,0
5,C61,Tumeur maligne de la prostate,"indurée en lobe droit, sans nodule suspect en lobe gauche",-0.058063,0.1323,.08-.16,1,0,0,1,0
6,C629,"Tumeur maligne d'un testicule, sans précision",masse semblait limitée à la gonade,0.166453,0.1187,.08-.16,1,0,0,1,0
7,C678,Tumeur maligne à localisations contiguës de la vessie,étendue au col vésical et à l'urètre proximal,0.20753,0.1455,.08-.16,1,0,0,1,0
8,C693,Tumeur maligne de la choroïde,"masse pigmentée, bien délimitée, située en temporal supérieur",0.067664,0.1531,.08-.16,1,0,0,1,0
9,D211,"Tumeur bénigne du tissu conjonctif et des autres tissus mous du membre supérieur, y compris l'épaule",évoluant depuis plusieurs mois,-0.046867,0.1416,.08-.16,0,0,0,0,0
10,D212,"Tumeur bénigne du tissu conjonctif et des autres tissus mous du membre inférieur, y compris la hanche",tissu musculaire du groupe des ischio-jambiers,0.446098,0.0841,.08-.16,0,0,0,0,0
11,D223,"Naevus à mélanocytes des parties de la face, autres et non précisées",structures vasculaires et nerveuses environnantes sont intactes,0.002618,0.0957,.08-.16,0,0,0,0,0
12,D233,"Tumeur bénigne de la peau des parties de la face, autres et non précisées",lésion en monobloc,-0.044279,0.1192,.08-.16,0,0,0,0,0
13,G540,Affections du plexus brachial,comprimé au niveau de la pince costo-claviculaire,0.047139,0.1033,.08-.16,1,0,0,1,0
14,G576,Lésion du nerf plantaire,section des fibres aponévrotiques et musculaires compressives,0.0967,0.1159,.08-.16,0,0,0,0,0
15,K353,Appendicite aigüe avec péritonite localisée,"inflammatoire, gangrené et perforé à sa partie moyenne",0.034828,0.0883,.08-.16,1,1,0,2,1
16,K432,"Éventration post-opératoire, sans occlusion ni gangrène",évacuée sans difficulté,0.199513,0.0867,.08-.16,0,0,0,0,0
17,K601,Fissure anale chronique,paquet hémorroïdaire isolé,0.044761,0.1406,.08-.16,0,0,0,0,0
18,K603,Fistule anale,lésion suspecte visible sur le reste de l’examen endo-anal,0.185391,0.0806,.08-.16,0,0,0,0,0
19,L980,Granulome pyogénique,lésion,0.066842,0.126,.08-.16,0,0,0,0,0
20,M1901,"Arthrose primaire d'autres articulations - Articulations acromio-claviculaire, scapulo-humérale, et sterno-claviculaire",articulation scapulo-humérale présent,0.281031,0.1159,.08-.16,0,0,0,0,0
21,M201,Hallux valgus (acquis),hypertrophie modérée,0.036663,0.0989,.08-.16,0,0,0,0,0
22,M232,Lésion d'un ménisque due à une déchirure ou un traumatisme ancien,lésion chondrale significative,0.153628,0.0874,.08-.16,0,0,0,0,0
23,M2322,Lésion d'un ménisque due à une déchirure ou un traumatisme ancien - CPMI,Cartilage fémoro-tibial et fémoro-patellaire d’aspect satisfaisant,-0.034423,0.0874,.08-.16,0,0,0,0,0
24,M2323,Lésion d'un ménisque due à une déchirure ou un traumatisme ancien - Autre partie MI,séquellaire d'un ancien traumatisme sportif,0.145022,0.15,.08-.16,0,0,0,0,0
25,M2333,Autres atteintes du ménisque - Autre partie MI,légère hypertrophie réactionnelle,-0.073004,0.0932,.08-.16,0,0,0,0,0
26,M2335,Autres atteintes du ménisque - CPME,atteinte ligamentaire associée,0.079696,0.1419,.08-.16,0,0,0,0,0
27,M2361,Autres ruptures spontanées de ligament(s) du genou - LCAE,cartilage articulaire d'aspect satisfaisant,0.038864,0.0804,.08-.16,0,0,0,0,0
28,M2531,"Autres instabilités articulaires - Articulations acromio-claviculaire, scapulo-humérale, et sterno-claviculaire",ligaments gléno-huméraux inférieur et moyen,0.213222,0.0982,.08-.16,0,0,0,0,0
29,M2567,"Raideur articulaire, non classée ailleurs - Articulations de la cheville et du pied",limite significativement la marche et le chaussage,0.42991,0.1006,.08-.16,0,0,0,0,0
30,M512,Hernie d'un autre disque intervertébral précisé,disque intervertébral présent,0.647238,0.1287,.08-.16,0,0,0,0,0
31,M6584,Autres synovites et ténosynovites - Main,matériel est désormais source d’irritation locale,0.036492,0.107,.08-.16,0,0,0,0,0
32,M6587,Autres synovites et ténosynovites - Cheville et pied,évoluant depuis plusieurs mois malgré un traitement médical bien conduit,0.030505,0.1518,.08-.16,0,0,0,0,0
33,M7133,Autres kystes des bourses séreuses - Avant-bras,lésion associée des tendons ou des nerfs périphériques,-0.101222,0.0979,.08-.16,0,0,0,0,0
34,M7137,Autres kystes des bourses séreuses - Cheville et pied,irritation chronique par le kyste,0.283903,0.0821,.08-.16,1,1,0,2,1
35,M795,Corps étranger résiduel dans un tissu mou,Tissus environnants légèrement fibreux,0.158516,0.1358,.08-.16,0,0,0,0,0
36,M8667,Autres ostéomyélites chroniques - Cheville et pied,tissus synoviaux hypertrophiés et inflammatoires,-0.063972,0.0813,.08-.16,0,0,0,0,0
37,M932,Ostéochondrite disséquante,lésion méniscale ou ligamentaire associée,-0.063733,0.1291,.08-.16,0,0,0,0,0
38,N185,"Maladie rénale chronique, stade 5",lésion suspecte au niveau d'un repli péritonéal lor,0.004042,0.0899,.08-.16,0,0,0,0,0
39,N411,Prostatite chronique,lésion suspecte de malignité,-0.026396,0.1515,.08-.16,0,0,0,0,0
40,N46,"Stérilité, chez l'homme",stérilisation définitive,0.535192,0.11,.08-.16,0,0,0,0,0
41,Q530,Testicule en situation anormale,cordon spermatique présent,0.128897,0.1028,.08-.16,0,0,0,0,0
42,S5260,Fracture fermée de l'extrémité inférieure du cubitus et du radius,chute de sa hauteur,0.092238,0.1599,.08-.16,0,0,0,0,0
43,S610,Plaie ouverte de(s) doigt(s) (sans lésion de l'ongle),accident domestique avec un objet tranchant,0.269575,0.1479,.08-.16,0,0,0,0,0
