span_id,code,definition,libelle,cos_rr_ln,gliner_score,bin,vote_opus,vote_fable_v2,vote_fable_v3,n_yes,label
0,C189,"Tumeur maligne du côlon, sans précision",adénocarcinome lieberkühnien bien différencié,0.264844,0.5188,,1,1,1,3,1
1,C189+8,"Tumeurs malignes du côlon, autres et non précisées",adénocarcinome colique multifocal,0.60258,0.4902,,1,1,1,3,1
2,C491,"Tumeur maligne du tissu conjonctif et des autres tissus mous du membre supérieur, y compris l'épaule",sarcome pléomorphe indifférencié des tissus mous,0.19715,0.5162,,1,1,1,3,1
3,C491,"Tumeur maligne du tissu conjonctif et des autres tissus mous du membre supérieur, y compris l'épaule",fascia brachial,0.318573,0.0511,,1,0,0,1,0
4,C492,"Tumeur maligne du tissu conjonctif et des autres tissus mous du membre inférieur, y compris la hanche",pontage artériel fémoropoplité sous-articulaire par abord direct,0.131701,0.0867,,0,0,0,0,0
5,C508,Tumeur maligne à localisations contiguës du sein,HER2 négatif (score 1+,0.036172,0.0574,,1,0,0,1,0
6,C549,"Tumeur maligne du corps de l'utérus, sans précision",adénocarcinome endométrioïde du corps utérin de stade FIGO IA,0.398417,0.4957,,1,1,1,3,1
7,C678,Tumeur maligne à localisations contiguës de la vessie,carcinome urothélial de haut grade de la vessie,0.590288,0.5087,,1,1,1,3,1
8,D128,Tumeur bénigne du rectum,"perforation, mesurant environ 5 mm",-0.088068,0.0855,,0,0,0,0,0
9,D161,Tumeur bénigne des os courts du membre supérieur,zone pathologique au niveau du métacarpe,0.271921,0.0644,,0,0,0,0,0
10,D161,Tumeur bénigne des os courts du membre supérieur,membre supérieur droit sur table à bras,0.205755,0.0597,,0,0,0,0,0
11,D161,Tumeur bénigne des os courts du membre supérieur,perte de substance par lambeau local fasciocutané à pédicule vasculaire anatomique,0.002152,0.0888,,0,0,0,0,0
12,D162,Tumeur bénigne des os longs du membre inférieur,tumeur bénigne du fémur droit,0.603937,0.6074,,1,1,1,3,1
13,D211,"Tumeur bénigne du tissu conjonctif et des autres tissus mous du membre supérieur, y compris l'épaule",évoluant depuis plusieurs mois sans signe inflammatoire ni déficit neurologique,-0.00772,0.0994,,0,0,0,0,0
14,D211,"Tumeur bénigne du tissu conjonctif et des autres tissus mous du membre supérieur, y compris l'épaule",évoluant depuis plusieurs mois,-0.046867,0.1089,,0,0,0,0,0
15,D211,"Tumeur bénigne du tissu conjonctif et des autres tissus mous du membre supérieur, y compris l'épaule",évoluant depuis plusieurs mois,-0.046867,0.1345,,0,0,0,0,0
16,D212,"Tumeur bénigne du tissu conjonctif et des autres tissus mous du membre inférieur, y compris la hanche",sans signe inflammatoire local ni retentissement fonctionnel majeur,0.048448,0.0839,,0,0,0,0,0
17,D234,Tumeur bénigne de la peau du cuir chevelu et du cou,évo,0.000845,0.0752,,0,0,0,0,0
18,D291,Tumeur bénigne de la prostate,hypertrophie bénigne de la prostate,0.820564,0.5761,,1,1,1,3,1
19,E6605,Obésité due à un excès calorique de l'adulte avec indice de masse corporelle [IMC] égal ou supérieur à 35 kg/m² et inférieur à 40 kg/m²,hernie hiatale mesure environ 4 cm de diamètre,0.091808,0.1155,,0,0,0,0,0
20,E6605,Obésité due à un excès calorique de l'adulte avec indice de masse corporelle [IMC] égal ou supérieur à 35 kg/m² et inférieur à 40 kg/m²,obésité sévère avec un IMC à 37 kg/m²,0.704181,0.3788,,1,1,1,3,1
21,G551,Compression des racines et des plexus nerveux au cours d'atteintes des disques intervertébraux (M50-M51),compression radiculaire cervicale,0.466395,0.4898,,1,1,1,3,1
22,K409,"Hernie inguinale, (unilatérale ou) sans précision(, sans occlusion ni gangrène)",hernie inguinale droite réductible,0.595193,0.4708,,1,1,1,3,1
23,K413,"Hernie crurale, (unilatérale ou) sans précision, avec occlusion, sans gangrène",Hernie crurale droite étrang,0.628546,0.3413,,1,1,1,3,1
24,K430,"Éventration post-opératoire, avec occlusion sans gangrène",éventration postopératoire de la paroi abdominale antérieure,0.443645,0.3865,,1,1,1,3,1
25,K439,"Hernie de la paroi abdominale antérieure autre et non précisée, sans occlusion ni gangrène",réduction du contenu herniaire (épiploon,0.360211,0.0566,,1,0,0,1,0
26,K469,"Hernie abdominale non précisée, (sans occlusion ni gangrène)","hernie abdominale non compliquée, évoluant depuis plusieurs mois",0.586143,0.5017,,1,1,1,3,1
27,K610,Abcès anal,abcès périanal douloureux évoluant depuis quelques jours,0.656941,0.6733,,1,1,1,3,1
28,K640,Hémorroïdes du premier degré,hémorroïdes internes de grade I,0.642708,0.5557,,1,1,1,3,1
29,K640,Hémorroïdes du premier degré,hémorroïdes internes de grade I,0.642708,0.5653,,1,1,1,3,1
30,K643,Hémorroïdes du quatrième degré,trois paquets,0.054602,0.075,,1,0,0,1,0
31,K643,Hémorroïdes du quatrième degré,Hémorroïdectomie pédiculaire par résection sous-muqueuse,0.224655,0.0533,,0,0,0,0,0
32,K643,Hémorroïdes du quatrième degré,paquets hémorroïdaires principaux,0.482807,0.2151,,1,1,0,2,1
33,K645,Thrombose veineuse périanale,thromboses hémorroïdaires,0.485758,0.3768,,1,1,1,3,1
34,K648,Autres hémorroïdes précisées,hémorroïdes internes symptomatiques,0.656109,0.5169,,1,1,1,3,1
35,L022,"Abcès cutané, furoncle et anthrax du tronc",zone abcédée était bien limitée,0.254694,0.1221,,1,1,1,3,1
36,L023,"Abcès cutané, furoncle et anthrax de la fesse",abcès cutané de la région fessière droite évoluant depuis plusieurs jours,0.742405,0.4955,,1,1,1,3,1
37,L030,Phlegmon des doigts et des orteils,plaie pulpo-unguéale du pouce droit,0.346393,0.4003,,0,0,0,0,0
38,L030,Phlegmon des doigts et des orteils,gaine des fléchisseurs du pouce,0.196621,0.0832,,1,0,0,1,0
